state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total,,
,,,2. Stocks Received,12000,48400,36696,15090,13000,51429,3000,9000,0,6000,12000,21600,228215,,
,,,3. Unusable Stock,0,0,6130,0,6979,0,0,0,0,0,0,0,13109,,
,,,4. Stock Distributed,7660,14094,27458,39400,20509,21310,16290,3810,11777,15044,14115,13700,205167,,
,,,5. Total Stock,88740,123046,126154,101844,87356,122925,106685,111875,99498,89434,89799,97989,1245345,,
,16.2.2,Stock Position of Condoms (to be used for Family Planning),1. Balance From Previous Month,221000,227800,1058920,1171320,1159420,1160100,1094900,808703,669666,471866,581266,795716,9420677,,
,,,2. Stocks Received,45000,1092320,1410000,1076600,513500,522000,61103,203463,6000,171100,477600,652080,6230766,,
3. Unusable Stock,,,2000,0,34000,0,0,110366,0,0,0,0,0,0,146366,,,
4. Stock Distributed,,,36200,261200,1263600,1070500,572820,302834,347300,342500,200100,61200,266150,345606,5070010,,,
5. Total Stock,,,227800,1058920,1171320,1177420,1100100,1268900,808703,669666,475566,581766,792716,1102190,10435067,,,
16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),1. Balance From Previous Month,37300,79160,118460,122090,62360,35420,25730,18020,5450,10400,11000,19910,545300,,,
,,2. Stocks Received,52200,97500,67200,33600,9000,250,0,150,15500,7000,18000,15900,316300,,,
,,3. Unusable Stock,0,820,1600,0,250,150,0,0,0,0,0,0,2820,,,
,,4. Stock Distributed,10340,57380,61970,93230,34990,8090,7710,12720,9250,6400,9290,19650,331020,,,
,,5. Total Stock,79160,118460,122090,62460,36120,27430,18020,5450,11700,11000,19710,16160,527760,,,
16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),1. Balance From Previous Month,14580,7130,3780,8930,6805,4950,3950,4150,3055,3055,2805,10385,73575,,,
,,2. Stocks Received,0,250,11530,2000,0,55,1000,1055,0,0,7680,0,23570,,,
,,3. Unusable Stock,250,0,0,0,55,55,0,0,0,0,0,0,360,,,
,,4. Stock Distributed,7200,3600,6380,4125,1800,1000,800,450,0,250,100,5255,30960,,,
,,5. Total Stock,7130,3780,8930,6805,4950,3950,4150,4755,3055,2805,10385,5130,65825,,,
16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),1. Balance From Previous Month,107880,113230,114930,126005,121690,110257,102865,110060,98219,95414,109044,108594,1318188,,,
,,2. Stocks Received,20700,9300,32515,12650,8790,6500,15195,14709,4465,18280,6050,18700,167854,,,
,,3. Unusable Stock,7250,0,9290,0,2000,5900,0,0,0,0,0,0,24440,,,
,,4. Stock Distributed,8100,7600,12150,16965,13623,7892,7500,14185,7270,4650,6400,22038,128373,,,
,,5. Total Stock,113230,114930,126005,121690,114857,102965,110560,110584,95414,109044,108694,105256,1333229,,,
16.3.01,Stock Position of Oxytocin Injection,1. Balance From Previous Month,325,595,365,7245,50345,185685,153875,107565,120354,105184,69364,44834,845736,,,
,,2. Stocks Received,550,0,7300,50100,201920,56420,34820,29069,0,0,0,0,380179,,,
,,3. Unusable Stock,0,0,0,0,29120,29070,0,0,0,0,0,0,58190,,,
,,4. Stock Distributed,280,230,420,7000,37460,59160,79920,16280,15170,35820,24530,2780,279050,,,
,,5. Total Stock,595,365,7245,50345,185685,153875,108775,120354,105184,69364,44834,42054,888675,,,
16.3.02,Stock Position of Gloves,1. Balance From Previous Month,22261,37732,44029,34916,36199,31775,29573,27810,23570,21610,20359,16755,346589,,,
,,2. Stocks Received,20382,7400,792,7000,0,0,0,0,0,0,1060,0,36634,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,4911,1103,9905,5717,4424,2202,1763,4240,1960,1251,4664,2010,44150,,,
,,5. Total Stock,37732,44029,34916,36199,31775,29573,27810,23570,21610,20359,16755,14745,339073,,,
16.3.03,Stock Position of MVA Syringes,1. Balance From Previous Month,26,90,79,75,50,65,65,65,64,64,57,271,971,,,
,,2. Stocks Received,230,0,0,0,15,0,0,0,0,0,215,0,460,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,6,0,0,6,,,
,,4. Stock Distributed,166,11,4,25,0,0,0,1,0,1,1,1,210,,,
,,5. Total Stock,90,79,75,50,65,65,65,64,64,57,271,270,1215,,,
16.3.04,Stock Position of Fluconazole Tablets,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,2. Stocks Received,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16.3.05,Stock Position of Blood Transfusion Sets,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,2. Stocks Received,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,2. Stocks Received,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16.3.07,Stock Position of IFA Tablets,1. Balance From Previous Month,14862300,18993175,19841268,16006565,10571116,16134244,12730478,11973178,10919013,8100193,4979693,3800993,148912216,,,
,,2. Stocks Received,8967275,3839193,28760,0,5367100,1762300,0,4560900,0,0,0,48320,24573848,,,
,,3. Unusable Stock,0,800,0,0,432000,4561000,10000,0,0,0,0,0,5003800,,,
,,4. Stock Distributed,4836400,2990300,3863463,5435449,296472,555066,747300,5615065,2418820,3500500,1178700,744450,32181985,,,
,,5. Total Stock,18993175,19841268,16006565,10571116,15209744,12780478,11973178,10919013,8500193,4599693,3800993,3104863,136300279,,,
16.3.08,Stock Position of IFA Syrup (Paediatric),1. Balance From Previous Month,64339,62739,53500,38400,41600,21500,10600,6800,5700,3900,0,0,309078,,,
,,2. Stocks Received,8500,0,0,53600,0,0,0,0,0,0,0,0,62100,,,
,,3. Unusable Stock,0,0,0,500,8100,0,0,0,0,0,0,0,8600,,,
,,4. Stock Distributed,10100,9239,15100,49900,12000,10900,3800,1100,1800,3900,0,0,117839,,,
,,5. Total Stock,62739,53500,38400,41600,21500,10600,6800,5700,3900,0,0,0,244739,,,
16.3.09,Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin),1. Balance From Previous Month,69050,68911,295261,292611,60661,245431,233841,221680,66680,25900,16900,14375,1611301,,,
,,2. Stocks Received,4761,228000,0,1890,191000,0,0,0,0,0,4975,740,431366,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,4900,1650,2650,233840,6230,11590,12161,155000,40780,9000,7500,9900,495201,,,
,,5. Total Stock,68911,295261,292611,60661,245431,233841,221680,66680,25900,16900,14375,5215,1547466,,,
16.3.10,Stock Position of Vitamin A solution,1. Balance From Previous Month,1214,1027,3614,3653,545,22917,21700,21624,6156,1738,1165,1144,86497,,,
,,2. Stocks Received,0,2736,76,9007,44550,7899,1796,0,0,0,0,0,66064,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,187,149,37,12115,22178,9116,1872,15468,4418,573,21,421,66555,,,
,,5. Total Stock,1027,3614,3653,545,22917,21700,21624,6156,1738,1165,1144,723,86006,,,
16.3.11,Stock of ORS (New WHO formulation),1. Balance From Previous Month,114554,219904,96129,105013,21279,71403,64979,64204,13080,2400,2400,1900,777245,,,
,,2. Stocks Received,109750,69400,10984,0,61599,0,0,0,0,0,0,0,251733,,,
,,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,4. Stock Distributed,4400,193175,2100,83734,11475,6424,775,51124,10680,0,500,1900,366287,,,
,,5. Total Stock,219904,96129,105013,21279,71403,64979,64204,13080,2400,2400,1900,0,662691,,,
16.4.1,Stock Position of 0.1 ml Syringes(AD),1. Balance From Previous Month,98867,78936,97961,96352,133747,146167,190397,136767,96942,123772,153687,141032,1494627,,,
,,2. Stocks Received,66850,135200,118800,139960,128040,152000,32000,54000,163000,124100,67600,64000,1245550,,,
,,3. Unusable Stock,0,0,2800,0,0,0,0,0,0,0,0,0,2800,,,
,,4. Stock Distributed,86781,116175,117609,102565,115620,109570,85630,91425,136170,94185,90105,99525,1245360,,,
,,5. Total Stock,78936,97961,96352,133747,146167,188597,136767,99342,123772,153687,131182,105507,1492017,,,
16.4.2,Stock Position of 0.5 ml Syringes(AD),1. Balance From Previous Month,1856070,2096360,1707620,1828750,1985350,1755180,1751530,1722070,1469350,1515910,1175190,1153820,20017200,,,
,,2. Stocks Received,952500,1036800,1036700,1098900,936000,890500,702000,530400,803000,681000,586800,967100,10221700,,,
,,3. Unusable Stock,45100,33100,84000,0,0,0,0,0,0,0,0,0,162200,,,
,,4. Stock Distributed,667110,1392440,831570,942300,1146170,894150,731460,795220,752040,961920,640770,793120,10548270,,,
,,5. Total Stock,2096360,1707620,1828750,1985350,1775180,1751530,1722070,1457250,1520310,1234990,1121220,1327800,19528430,,,
16.4.3,Stock Position of 5.0 ml Syringes(Disposable),1. Balance From Previous Month,103860,97660,74155,58155,60450,87800,79900,73325,65730,91890,104735,125095,1022755,,,
,,2. Stocks Received,6800,18300,26000,13500,61700,71600,23400,24650,81565,69400,35200,61400,493515,,,
,,3. Unusable Stock,200,0,100,0,0,0,2000,0,0,0,3000,0,5300,,,
,,4. Stock Distributed,12800,41805,41900,11205,34350,78100,27975,32645,55405,47205,29690,51495,464575,,,
,,5. Total Stock,97660,74155,58155,60450,87800,81300,73325,65330,91890,114085,107245,135000,1046395,,,
17.1,Number of cases of Infant deaths within 24 hrs of birth,TOTAL,47,17,25,23,22,30,49,64,29,72,65,57,500,,,
17.2.1,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis,1. Up to 1 Weeks of Birth,7,13,23,9,8,10,10,24,17,15,30,24,190,,,
,,2. Between 1 week & 4 weeks of birth,9,11,8,12,9,6,8,11,3,6,8,5,96,,,
,,3. Total,16,24,31,21,17,16,18,35,20,21,38,29,286,,,
17.2.2,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia,1. Up to 1 Weeks of Birth,19,30,38,21,23,24,28,35,34,29,39,51,371,,,
,,2. Between 1 week & 4 weeks of birth,5,6,12,7,3,4,4,9,10,15,9,9,93,,,
,,3. Total,24,36,50,28,26,28,32,44,44,44,48,60,464,,,
17.2.3,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW,1. Up to 1 Weeks of Birth,24,25,30,28,38,24,33,45,32,34,44,48,405,,,
,,2. Between 1 week & 4 weeks of birth,13,10,18,17,14,17,10,16,17,19,28,12,191,,,
,,3. Total,37,35,48,45,52,41,43,61,49,53,72,60,596,,,
17.2.4,"Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW",1. Up to 1 Weeks of Birth,20,14,19,15,19,23,14,41,17,13,32,45,272,,,
,,2. Between 1 week & 4 weeks of birth,16,20,15,10,16,11,16,15,9,11,14,21,174,,,
,,3. Total,36,34,34,25,35,34,30,56,26,24,46,66,446,,,
17.3.1,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia,1. Between 1 month and 11 months,18,15,17,13,29,30,21,18,16,16,22,14,229,,,
,,2. Between 1 year & 5 years,4,2,8,4,10,5,3,9,5,4,,3,57,,,
,,3. Total,22,17,25,17,39,35,24,27,21,20,22,17,286,,,
17.3.2,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea,1. Between 1 month and 11 months,,1,5,1,1,1,1,2,4,3,1,6,26,,,
,,2. Between 1 year & 5 years,1,1,,,1,1,1,1,1,1,,,8,,,
,,3. Total,1,2,5,1,2,2,2,3,5,4,1,6,34,,,
17.3.3,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related,1. Between 1 month and 11 months,3,5,5,5,7,11,12,10,,3,3,6,70,,,
,,2. Between 1 year & 5 years,8,5,3,2,5,4,3,2,3,1,4,3,43,,,
,,3. Total,11,10,8,7,12,15,15,12,3,4,7,9,113,,,
17.3.4,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles,1. Between 1 month and 11 months,2,,,,,1,,,,,,,3,,,
,,2. Between 1 year & 5 years,1,1,,,,,,,,1,,,3,,,
,,3. Total,3,1,,,,1,,,,1,,,6,,,
17.3.5,"Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles",1. Between 1 month and 11 months,40,35,63,49,66,57,45,53,57,41,53,58,617,,,
,,2. Between 1 year & 5 years,16,20,26,18,28,26,17,26,21,7,14,14,233,,,
,,3. Total,56,55,89,67,94,83,62,79,78,48,67,72,850,,,
17.4.1,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases,1. 6-14 yrs,1,2,1,,1,,1,,,1,,,7,,,
,,2. 15-55 yrs.,9,6,9,5,4,5,8,2,4,4,3,4,63,,,
,,3. Above 55 yrs.,8,3,5,6,4,3,9,9,6,10,10,8,81,,,
,,4. Total,18,11,15,11,9,8,18,11,10,15,13,12,151,,,
17.4.2,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis,1. 6-14 yrs,3,1,,2,2,4,3,,1,1,1,3,21,,,
,,2. 15-55 yrs.,124,94,104,103,106,127,112,116,103,84,90,110,1273,,,
,,3. Above 55 yrs.,40,60,49,70,57,68,63,54,51,66,58,45,681,,,
,,4. Total,167,155,153,175,165,199,178,170,155,151,149,158,1975,,,
17.4.3,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections,1. 6-14 yrs,3,3,6,5,6,7,6,11,7,5,6,3,68,,,
,,2. 15-55 yrs.,209,172,205,186,184,212,218,217,213,213,203,170,2402,,,
,,3. Above 55 yrs.,548,483,657,617,665,753,706,737,796,691,718,633,8004,,,
,,4. Total,760,658,868,808,855,972,930,965,1016,909,927,806,10474,,,
17.4.4,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria,1. 6-14 yrs,,,,2,,,,,,1,1,,4,,,
,,2. 15-55 yrs.,,4,1,2,6,1,2,1,3,2,1,3,26,,,
,,3. Above 55 yrs.,3,3,3,1,2,3,5,3,2,1,3,,29,,,
,,4. Total,3,7,4,5,8,4,7,4,5,4,5,3,59,,,
17.4.5,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related,1. 6-14 yrs,6,3,8,13,13,9,13,7,5,5,5,11,98,,,
,,2. 15-55 yrs.,53,57,55,59,57,71,60,42,41,59,51,66,671,,,
,,3. Above 55 yrs.,30,44,65,48,54,66,55,55,48,39,53,61,618,,,
,,4. Total,89,104,128,120,124,146,128,104,94,103,109,138,1387,,,
17.4.6,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being HIV/AIDS,1. 6-14 yrs,5,,3,6,1,4,5,5,3,1,2,3,38,,,
,,2. 15-55 yrs.,167,132,148,138,174,172,154,159,154,137,126,136,1797,,,
,,3. Above 55 yrs.,10,17,22,21,24,35,17,16,22,18,15,23,240,,,
,,4. Total,182,149,173,165,199,211,176,180,179,156,143,162,2075,,,
17.4.7,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Heart disease or related to Hypertension,1. 6-14 yrs,10,8,14,22,23,14,9,7,17,11,20,12,167,,,
,,2. 15-55 yrs.,787,743,870,847,856,909,836,922,931,920,803,693,10117,,,
,,3. Above 55 yrs.,962,918,1235,1252,1378,1389,1269,1380,1257,1349,1272,1142,14803,,,
,,4. Total,1759,1669,2119,2121,2257,2312,2114,2309,2205,2280,2095,1847,25087,,,
17.4.8,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Neurological disease including strokes,1. 6-14 yrs,7,11,14,10,12,15,11,18,6,12,12,17,145,,,
,,2. 15-55 yrs.,208,211,225,229,238,218,239,271,230,237,228,190,2724,,,
,,3. Above 55 yrs.,577,507,808,852,921,862,797,963,939,931,838,727,9722,,,
,,4. Total,792,729,1047,1091,1171,1095,1047,1252,1175,1180,1078,934,12591,,,
17.4.9(a),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Abortion,1. 6-14 yrs,,,,,,,,,,,,,,,,
,,2. 15-49 yrs,,1,1,,,2,1,1,,1,1,1,9,,,
,,3. Above 49 yrs.,,,,,,,,,,,,,,,,
,,4. Total,,1,1,,,2,1,1,,1,1,1,9,,,
17.4.9(b),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Obstructed or prolonged labour,1. 6-14 yrs,,,,,,,,,,,,,,,,
,,2. 15-49 yrs,9,6,9,7,4,9,5,6,5,4,4,5,73,,,
,,3. Above 49 yrs.,,,1,,,,,,,,,,1,,,
,,4. Total,9,6,10,7,4,9,5,6,5,4,4,5,74,,,
17.4.9(c),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Severe hypertesnion or fits,1. 6-14 yrs,,,,,,,,,,,,,,,,
,,2. 15-49 yrs,12,10,14,6,9,15,10,8,7,9,2,8,110,,,
,,3. Above 49 yrs.,6,7,7,,,,,,,,,,20,,,
,,4. Total,18,17,21,6,9,15,10,8,7,9,2,8,130,,,
17.4.9(d),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Bleeding,1. 6-14 yrs,,,,,,,,,,,,,,,,
,,2. 15-49 yrs,4,2,3,,5,4,6,5,2,6,2,2,41,,,
,,3. Above 49 yrs.,,,,,,,,,,,,,,,,
,,4. Total,4,2,3,,5,4,6,5,2,6,2,2,41,,,
17.4.9(e),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being High Fever,1. 6-14 yrs,,,,,,,,,,,,,,,,
,,2. 15-49 yrs,6,6,5,7,7,5,2,4,2,3,3,3,53,,,
,,3. Above 49 yrs.,1,1,1,,,,,,,,,,3,,,
,,4. Total,7,7,6,7,7,5,2,4,2,3,3,3,56,,,
17.4.9(f),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being other causes (excluding abortion, obstructed or prolonged labour, severe hypertension or fits,,1. 6-14 yrs,,,,,,,,,,,,,
,,2. 15-49 yrs,21,25,32,17,11,28,25,25,17,18,23,18,260,,,
,,3. Above 49 yrs.,16,9,19,,,,,,,,,,44,,,
,,4. Total,37,34,51,17,11,28,25,25,17,18,23,18,304,,,
17.4.10,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Trauma or Accidents or Burn cases,1. 6-14 yrs,39,45,37,25,26,30,43,33,21,27,32,26,384,,,
,,2. 15-55 yrs.,474,411,462,353,419,406,395,463,386,412,409,412,5002,,,
,,3. Above 55 yrs.,128,84,139,112,114,112,110,109,133,126,124,106,1397,,,
,,4. Total,641,540,638,490,559,548,548,605,540,565,565,544,6783,,,
17.4.11,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being suicide,1. 6-14 yrs,7,18,18,8,6,7,12,8,8,7,18,12,129,,,
,,2. 15-55 yrs.,482,476,518,468,492,491,514,540,457,429,401,443,5711,,,
,,3. Above 55 yrs.,82,82,104,69,77,89,91,97,78,85,71,71,996,,,
,,4. Total,571,576,640,545,575,587,617,645,543,521,490,526,6836,,,
17.4.12,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Animal bites and stings,1. 6-14 yrs,12,10,22,15,21,16,16,19,7,7,3,7,155,,,
,,2. 15-55 yrs.,49,72,67,59,68,76,47,46,45,31,31,34,625,,,
,,3. Above 55 yrs.,46,41,62,67,47,40,45,44,29,41,32,21,515,,,
,,4. Total,107,123,151,141,136,132,108,109,81,79,66,62,1295,,,
17.4.13(a),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Acute disease,1. 6-14 yrs,12,8,14,14,7,19,15,16,11,13,16,8,153,,,
,,2. 15-55 yrs.,340,333,381,360,393,403,374,401,358,392,387,351,4473,,,
,,3. Above 55 yrs.,462,421,618,626,638,642,613,693,687,680,694,622,7396,,,
,,4. Total,814,762,1013,1000,1038,1064,1002,1110,1056,1085,1097,981,12022,,,
17.4.13(b),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Chronic disease,1. 6-14 yrs,6,16,14,11,15,12,15,11,13,11,13,8,145,,,
,,2. 15-55 yrs.,364,308,361,320,359,346,343,410,357,362,327,334,4191,,,
,,3. Above 55 yrs.,477,579,815,753,822,831,728,804,800,797,755,726,8887,,,
,,4. Total,847,903,1190,1084,1196,1189,1086,1225,1170,1170,1095,1068,13223,,,
17.4.13(c),Number of cases of Adolescent or Adult deaths (age 6 years & above) where the cause was not known,1. 6-14 yrs,34,36,57,66,72,67,67,83,50,60,59,41,692,,,
,,2. 15-55 yrs.,1179,1086,1214,1139,1251,1251,1179,1347,1261,1205,1252,1134,14498,,,
,,3. Above 55 yrs.,2940,3038,4192,4148,4652,4610,4560,5077,4674,4666,4485,4122,51164,,,
,,4. Total,4153,4160,5463,5353,5975,5928,5806,6507,5985,5931,5796,5297,66354,,,
Kerala,1.1,Total number of pregnant women Registered for ANC,TOTAL,43500,42789,45410,45423,36959,45789,45275,45864,39556,45298,39398,39965,515226,,
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,33817,31944,34057,33854,29046,35917,34127,35945,31176,35374,31095,30581,396933,,
,1.2,Number of Pregnant women registered under JSY,TOTAL,15311,15218,16912,16907,14669,18177,18132,18850,16116,18075,16532,16749,201648,,
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,37064,37158,38982,39323,36941,41150,41348,40342,37447,37191,37272,37035,461253,,
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,35868,38401,37111,36195,31798,38307,36533,38583,36299,37637,35374,36233,438339,,
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,33086,36064,35709,35760,31518,36015,31474,34264,35816,36664,33761,34958,415089,,
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,35699,36923,38902,43476,35989,39333,37683,38377,33875,35292,32801,32885,441235,,
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,1329,1160,1348,1096,1052,1153,1186,1311,1437,1650,1599,1284,15605,,
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,56,31,41,73,55,37,50,37,27,86,45,44,582,,
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,8394,6846,5639,6784,5995,6990,6823,7429,6341,6738,10081,6072,84132,,
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,150,158,146,196,253,214,199,257,186,255,548,178,2740,,
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,5,8,5,5,13,10,12,4,15,13,12,6,108,,
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,83,77,89,86,70,77,54,61,65,94,85,80,921,,
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,88,85,94,91,83,87,66,65,80,107,97,86,1029,,
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,78,69,109,89,72,89,58,117,194,99,86,81,1141,,
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,5,,10,10,2,3,15,6,7,4,4,,66,,
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,11474,11997,11196,10559,10303,10869,12496,12151,11054,11103,10499,12906,136607,,
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,462,747,887,1294,1756,1722,1746,1893,2773,1810,1330,879,17299,,
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,4667,4495,5507,7101,9124,5532,9271,10260,9301,47296,8578,10068,131200,,
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1401,1310,3673,2188,22404,2613,6156,11867,15487,1961,4757,4707,78524,,
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,299,4,,,9,3,3,,3,,,4,325,,
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,30195,32881,30620,29650,27345,31735,31279,31496,27751,28399,26710,27832,355893,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,365,603,518,632,385,599,573,823,417,745,592,673,6925,,
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,34,72,84,18,127,142,126,241,187,154,82,89,1356,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,17,,,,,,,,,,,,17,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,1,,,,,,1,,2,,
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,108,108,180,137,136,128,154,179,165,157,135,162,1749,,
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,4378,4512,4251,4056,4036,4329,4890,4453,4071,4249,3743,4627,51595,,
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,4486,4620,4431,4193,4173,4457,5044,4632,4236,4406,3879,4789,53346,,
,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,11988,13159,11892,11807,11009,12751,12693,11838,10955,11501,10890,10925,141408,,
,4.1.1.a,Number of male live births,TOTAL,21529,23071,21554,20882,19355,22036,21993,21255,19848,20221,19171,21048,251963,,
,4.1.1.b,Number of female live births,TOTAL,20424,22024,20281,19585,18465,20870,21857,20356,19081,19543,18199,19947,240632,,
,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,41953,45095,41835,40467,37820,42906,43850,41611,38929,39764,37370,40995,492595,,
,4.1.2,Number of still births,TOTAL,178,203,184,196,197,205,191,194,193,201,213,208,2363,,
,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,1414,1320,1433,1424,1249,1528,1503,1529,1274,1411,1203,1393,16681,,
,4.2.1,Number of Newborns weighed at birth,TOTAL,41972,45092,41735,40466,37824,42566,43850,41628,38924,39732,37366,40987,492142,,
,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,4388,4965,4881,4579,4464,4290,4524,4051,4208,4321,4065,4897,53633,,
,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,36322,39447,37698,36513,32664,37182,38799,36044,35298,36368,33637,37744,437716,,
